time, path, sequence, highest ack, high ack time, last time ack, cwin, one-way-delay, rtt-sample, SRTT, RTT min, Bandwidth (B/s), Receive rate (B/s), Send MTU, pacing packet time(us), nb retrans, nb spurious, cwin blkd, flow blkd, stream blkd, app limited, cc_state, cc_param, bw_max, transit, 
21040, 0, 3, -1, 0, 0, 15360, 0, 21040, 21040, 21040, 0, 0, 1252, 1372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2005,
21656, 0, 3, -1, 0, 0, 15360, 0, 21656, 21117, 21040, 45686, 0, 1252, 1378, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1717,
24201, 0, 8, 1, 24201, 0, 15360, 0, 22609, 21303, 21040, 88688, 0, 1440, 1598, 0, 0, 0, 0, 0, 1, 0, 0, 652957, 5118,
41742, 0, 16, 3, 41742, 21656, 15360, 0, 20086, 21303, 20086, 78869, 0, 1440, 1598, 0, 0, 1, 0, 0, 1, 0, 0, 652957, 16528,
42929, 0, 16, 3, 41742, 21656, 15360, 0, 20086, 21303, 20086, 78869, 0, 1440, 1598, 0, 0, 1, 0, 0, 1, 0, 0, 652957, 16528,
42929, 0, 17, 3, 41742, 21656, 15360, 0, 20086, 21303, 20086, 78869, 0, 1440, 1598, 0, 0, 1, 0, 0, 1, 0, 0, 652957, 16583,
43930, 0, 17, 5, 43930, 21885, 17832, 0, 22045, 21303, 20086, 187662, 87411, 1440, 1377, 0, 0, 1, 0, 0, 1, 0, 0, 1129798, 14079,
45932, 0, 20, 7, 45932, 23170, 20304, 0, 22762, 21303, 20086, 274015, 87411, 1440, 1209, 0, 0, 1, 0, 0, 1, 0, 0, 1234765, 15895,
48234, 0, 23, 9, 48234, 26366, 23152, 0, 21868, 21351, 20086, 298490, 87411, 1440, 1063, 0, 0, 0, 0, 0, 1, 0, 0, 1234765, 17335,
50755, 0, 26, 11, 50755, 29561, 26000, 0, 21194, 21331, 20086, 362572, 87411, 1440, 946, 0, 0, 0, 0, 0, 1, 0, 0, 1234765, 18775,
53950, 0, 29, 13, 53950, 32756, 28848, 0, 21194, 21313, 20086, 414153, 87411, 1440, 852, 0, 0, 0, 0, 0, 1, 0, 0, 1234765, 20215,
57146, 0, 33, 15, 57146, 35952, 31696, 0, 21194, 21298, 20086, 456553, 87411, 1440, 775, 0, 0, 0, 0, 0, 1, 0, 0, 1234765, 23095,
65124, 0, 39, 17, 65124, 43930, 33159, 0, 21194, 21298, 20086, 695259, 87411, 1440, 740, 0, 0, 1, 0, 0, 1, 0, 0, 1234765, 30240,
67426, 0, 42, 19, 67426, 43930, 36007, 0, 23496, 21298, 20086, 773535, 16385, 1440, 682, 0, 0, 1, 0, 0, 1, 0, 0, 1237185, 31680,
69728, 0, 46, 21, 69728, 46216, 38855, 0, 23512, 21298, 20086, 779584, 16385, 1440, 632, 0, 0, 1, 0, 0, 1, 0, 0, 1237185, 34560,
72030, 0, 49, 23, 72030, 48487, 41703, 0, 23543, 21298, 20086, 779584, 16385, 1440, 589, 0, 0, 1, 0, 0, 0, 0, 0, 1237185, 36000,
74332, 0, 53, 25, 74332, 50612, 44551, 0, 23720, 21298, 20086, 819947, 16385, 1440, 551, 0, 0, 1, 0, 0, 0, 0, 0, 1237185, 38880,
76634, 0, 57, 27, 76634, 52502, 47399, 0, 24132, 21298, 20086, 826886, 16385, 1440, 518, 0, 0, 1, 0, 0, 0, 0, 0, 1237185, 41760,
78936, 0, 61, 29, 78936, 54298, 50247, 0, 24638, 21298, 20086, 856439, 16385, 1440, 489, 0, 0, 1, 0, 0, 0, 0, 0, 1237185, 44640,
81238, 0, 65, 31, 81238, 56000, 53095, 0, 25238, 21298, 20086, 888559, 16385, 1440, 463, 0, 0, 1, 0, 0, 0, 0, 0, 1237185, 47520,
83540, 0, 69, 33, 83540, 57626, 55943, 0, 25914, 21627, 20086, 918655, 16385, 1440, 446, 0, 0, 1, 0, 0, 0, 0, 0, 1237185, 50400,
85842, 0, 73, 35, 85842, 59174, 58791, 0, 26668, 22257, 20086, 944208, 16385, 1440, 437, 0, 0, 1, 0, 0, 0, 0, 0, 1237185, 53280,
88144, 0, 77, 37, 88144, 60722, 61639, 0, 27422, 22902, 20086, 965965, 16385, 1440, 429, 0, 0, 1, 0, 0, 0, 0, 0, 1237185, 56160,
90446, 0, 81, 39, 90446, 65124, 64487, 0, 25322, 23204, 20086, 1237185, 16385, 1440, 415, 0, 0, 1, 0, 0, 0, 0, 0, 1237185, 59040,
92748, 0, 85, 41, 92748, 65124, 67335, 0, 27624, 23756, 20086, 1237185, 23892, 1440, 407, 0, 0, 1, 0, 0, 0, 0, 0, 1237185, 61920,
