Time, Path-ID, Event, Pacing_rate, Receive Rate, CWIN, RTT
22002, 0, 23, 872647, 0, 15360, 22002
65579, 1, 23, 0, 0, 15360, 22002
65579, 1, 20,
68426, 0, 23, 877393, 70283, 15360, 21883
68426, 1, 23, 858791, 0, 15360, 22357
87581, 0, 23, 877393, 253342, 15360, 21883
113379, 0, 23, 873720, 1031103, 15360, 21975
113379, 1, 23, 854206, 770003, 15360, 22477
151362, 0, 23, 836273, 1251086, 15360, 22959
151362, 1, 23, 816118, 1251086, 15360, 23526
184521, 0, 23, 778683, 1251086, 15360, 24657
184521, 1, 23, 758204, 1251086, 15360, 25323
209129, 0, 23, 792602, 1053709, 15360, 24224
236661, 0, 23, 770558, 1251086, 15360, 24917
312428, 1, 23, 685518, 1251086, 15360, 28008
321633, 1, 23, 685518, 1058341, 15360, 28008
369488, 0, 23, 741198, 1116907, 15360, 25904
369488, 1, 23, 696611, 806412, 15360, 27562
413392, 0, 23, 757814, 857557, 15360, 25336
413392, 1, 23, 716765, 1032258, 15360, 26787
457292, 0, 23, 773351, 1108630, 15360, 24827
457292, 1, 23, 735716, 1251086, 15360, 26097
500709, 0, 23, 787789, 1178855, 15360, 24372
545317, 0, 23, 805504, 127930, 15360, 23836
545317, 1, 23, 756769, 590670, 15360, 25371
614377, 0, 23, 794998, 1251086, 15360, 24151
614377, 1, 23, 746036, 1251086, 15360, 25736
662719, 1, 23, 688986, 1251086, 15360, 27867
706500, 0, 23, 743379, 1251086, 15360, 25828
752583, 1, 23, 638085, 1251086, 15360, 30090
757101, 0, 23, 688369, 1251086, 15360, 27892
812478, 1, 23, 582860, 1251086, 15360, 32941
901148, 0, 23, 629198, 1251086, 15360, 30515
970251, 1, 23, 593141, 818186, 15360, 32370
971803, 0, 23, 686351, 1251086, 15360, 27974
1150997, 1, 22,
1150997, 0, 22,
